year,round,race,surname,forename,lap,position,time,milliseconds
2018,1,"Australian Grand Prix","Alonso","Fernando",1,10,"1:41.528",101528
2018,1,"Australian Grand Prix","Alonso","Fernando",2,10,"1:31.565",91565
2018,1,"Australian Grand Prix","Alonso","Fernando",3,10,"1:31.304",91304
2018,1,"Australian Grand Prix","Alonso","Fernando",4,10,"1:30.551",90551
2018,1,"Australian Grand Prix","Alonso","Fernando",5,10,"1:31.910",91910
2018,1,"Australian Grand Prix","Alonso","Fernando",6,10,"1:31.731",91731
2018,1,"Australian Grand Prix","Alonso","Fernando",7,10,"1:31.167",91167
2018,1,"Australian Grand Prix","Alonso","Fernando",8,10,"1:30.926",90926
2018,1,"Australian Grand Prix","Alonso","Fernando",9,10,"1:30.407",90407
2018,1,"Australian Grand Prix","Alonso","Fernando",10,10,"1:30.985",90985
2018,1,"Australian Grand Prix","Alonso","Fernando",11,10,"1:30.872",90872
2018,1,"Australian Grand Prix","Alonso","Fernando",12,10,"1:30.492",90492
2018,1,"Australian Grand Prix","Alonso","Fernando",13,10,"1:30.171",90171
2018,1,"Australian Grand Prix","Alonso","Fernando",14,10,"1:30.069",90069
2018,1,"Australian Grand Prix","Alonso","Fernando",15,10,"1:30.501",90501
2018,1,"Australian Grand Prix","Alonso","Fernando",16,10,"1:29.985",89985
2018,1,"Australian Grand Prix","Alonso","Fernando",17,10,"1:30.266",90266
2018,1,"Australian Grand Prix","Alonso","Fernando",18,10,"1:30.182",90182
2018,1,"Australian Grand Prix","Alonso","Fernando",19,10,"1:29.597",89597
2018,1,"Australian Grand Prix","Alonso","Fernando",20,10,"1:29.617",89617
2018,1,"Australian Grand Prix","Alonso","Fernando",21,9,"1:29.865",89865
2018,1,"Australian Grand Prix","Alonso","Fernando",22,7,"1:29.626",89626
2018,1,"Australian Grand Prix","Alonso","Fernando",23,7,"1:28.803",88803
2018,1,"Australian Grand Prix","Alonso","Fernando",24,5,"1:29.177",89177
2018,1,"Australian Grand Prix","Alonso","Fernando",25,5,"1:29.137",89137
2018,1,"Australian Grand Prix","Alonso","Fernando",26,5,"2:20.530",140530
2018,1,"Australian Grand Prix","Alonso","Fernando",27,6,"2:10.157",130157
2018,1,"Australian Grand Prix","Alonso","Fernando",28,6,"2:03.009",123009
2018,1,"Australian Grand Prix","Alonso","Fernando",29,6,"1:49.309",109309
2018,1,"Australian Grand Prix","Alonso","Fernando",30,6,"1:58.259",118259
2018,1,"Australian Grand Prix","Alonso","Fernando",31,5,"2:12.005",132005
2018,1,"Australian Grand Prix","Alonso","Fernando",32,5,"1:30.188",90188
2018,1,"Australian Grand Prix","Alonso","Fernando",33,5,"1:29.043",89043
2018,1,"Australian Grand Prix","Alonso","Fernando",34,5,"1:29.205",89205
2018,1,"Australian Grand Prix","Alonso","Fernando",35,5,"1:28.627",88627
2018,1,"Australian Grand Prix","Alonso","Fernando",36,5,"1:28.380",88380
2018,1,"Australian Grand Prix","Alonso","Fernando",37,5,"1:28.451",88451
2018,1,"Australian Grand Prix","Alonso","Fernando",38,5,"1:28.404",88404
2018,1,"Australian Grand Prix","Alonso","Fernando",39,5,"1:28.162",88162
2018,1,"Australian Grand Prix","Alonso","Fernando",40,5,"1:28.279",88279
2018,1,"Australian Grand Prix","Alonso","Fernando",41,5,"1:28.080",88080
2018,1,"Australian Grand Prix","Alonso","Fernando",42,5,"1:27.936",87936
2018,1,"Australian Grand Prix","Alonso","Fernando",43,5,"1:28.020",88020
2018,1,"Australian Grand Prix","Alonso","Fernando",44,5,"1:28.096",88096
2018,1,"Australian Grand Prix","Alonso","Fernando",45,5,"1:28.174",88174
2018,1,"Australian Grand Prix","Alonso","Fernando",46,5,"1:28.206",88206
2018,1,"Australian Grand Prix","Alonso","Fernando",47,5,"1:27.994",87994
2018,1,"Australian Grand Prix","Alonso","Fernando",48,5,"1:28.425",88425
2018,1,"Australian Grand Prix","Alonso","Fernando",49,5,"1:27.920",87920
2018,1,"Australian Grand Prix","Alonso","Fernando",50,5,"1:27.677",87677
2018,1,"Australian Grand Prix","Alonso","Fernando",51,5,"1:27.351",87351
2018,1,"Australian Grand Prix","Alonso","Fernando",52,5,"1:27.546",87546
